 haha yes,haha yes
 i give in to easily,I give in to easily
 what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine?,favorite
 im jealous....,jealous..
 is at a photoshoot.,Is at a photoshoot.
 awesome...,s awesome
 yay playing a show tonight! boo it`s gonna soggy and i`m at work right before playing,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing
" if you know such agent, do let me know","If you know such agent, do let me know"
 sounds better,better
" 'you can ride one, you can catch one, but its not summer til you pop open one' ?","'you can ride one, you can catch one, but its not summer til you pop open one'  ?"
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no
 missin the fam(ily) today. baddd.,BADDD.
 my sources say no,My sources say no
 tired,I am sooo tired
 lucky kid...,lucky
 sick.,Sick.
 sorry,", sorry guys"
" his snoring is so annoying n it keeps me from sleeping (like right now, lol) but i honestly wud miss it if it eva left i love him.","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him."
 cool,cool
 awesome!!!!,Love it there
 hi how are you doing ??? *just joined twitter...*,Hi  how are you doing ???  *just joined twitter...
 tired,tired
 happy,Happy Mothers day to all you Mums out there
 she`s prolly freaked,freaked
 unfortunately,unfortunately
 gonna read a story bout adam lambert online then bed. nighty night,Gonna read a story bout adam lambert online then bed. Nighty night
 best,best
" certainly not cheers than, huh?","Certainly not Cheers than, huh?"
 busy,busy
 awesome.,Awesome.
 cool i wear black most of the time when i go out,cool i wear black most of the time when i go out
 if u have a friendster add me!!!!!!!!! my email adress add me loco_crime_1st.com add me leave some comment,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me
" aww, i love",I love my
 what`s with the gloomy weather? the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha
 poor,Poor you
 not a prob hun,Not a prob
 totally adore,y adore
 lmao i love him too,I love him too
 painful...,painful.
 why are you sad?,sad?
 nice,e nice
 humous and dorito`s.... oh yes,Humous and Dorito`s.... Oh yes
 missed,"missed all the awesome weather,"
 today is going to be a normal day for i hope. we had a group of pilots from a large airline come in last night so it was too much drink,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink
 terrible!,terrible!
" unfortunatley,","Unfortunatley,"
 hate fighting,Hate fighting
 sore throat,Car-warmed Sprite tastes like sore throat
 just came 11th in cross country and beat dumbo,Just came 11th in cross country and beat dumbo
 enjoyable.,enjoyable.
 tomorrow valeria`s lunch!!! going to get my hair done but im arraving late got my cousins babtizm or whatever you spell it,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it
 goooooddd,goooooddd morning tweets!!
 hate my computer so much..,hate
 fine!,fine!
 i don`t like the other ones.,i don`t like the other ones.
 me neither,me neither
 forgot,Bugger. forgot I still have washing in my machine
" sending love, blessings & healing thoughts to you & family peace","sending love, blessings & healing thoughts to you & family  peace"
 fun,p sounds like fun
great,great
 good,good morning
 best,its the best show EVER!
 i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :l .,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .
 or even nooooo not the secret namerebecca please,NOT THE SECRET NAMEREBECCA PLEASE
 really hopes her car`s illness is not terminal...,illness
" all the cool people i want to find for following today are #english, and i guess the english don`t tweet.","All the cool people I want to find for following today are #English, and I guess the English don`t tweet."
 no sir...i woulda put honey...but i don`t have any,no sir...i woulda put honey...but i don`t have any
 i`m sad,sad
 finally got a call for marriage counseling 3 days late....,Finally got a call for marriage counseling 3 days late....
 ok then,ok then
 ok then,sick!
 happy,happy 1 year! <3
 goooooooooooood,Goooooooooooood Morrrrrrrrning
 *phew* will make a note in case anyone else runs into the same issueï¿½,*phew*  Will make a note in case anyone else runs into the same issueï¿½
 what about me ?? i vote every day for you !!!!!,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!
 what about me ?? i vote every day for you !!!!!,bored..
" had nicotine replacement patch on for 4 hours. so far, so good, but i did sleep for most of those 4 hours. getting a bit twitchy now","So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now"
 lost,lost my voice
 hate,hate
 disappointed,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy
 grabbing coffee from then making mom breakfast,Grabbing coffee from  then making mom breakfast
 thanks. before the major chop.,thanks. before the major chop.
 saw james carville in the store today. his head is really that bald,Saw James carville in the store today. His head is really that bald
 which means you`re just going to have to come back to vancouver and have it our way! hahah,which means you`re just going to have to come back to vancouver and have it our way! hahah
 ew traffic,Ew traffic
" downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol","downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol"
 @_ra_ra_ your not alone...i need coffee too.,your not alone...i need coffee too.
 sounds like me,Sounds like me
 bad day the day you realize what mess you`ve put me through will be one of the happiest days of my life...,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...
 hate,I hate not having a bike..
" failed inspection. did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? this is worse than taxes.",This is worse than taxes.
" fun,",would love to test it though.
 fun night!,Fun night!
 hopefully,Hopefully
 done at the spa now meeting vic for some late lunch!,Done at the spa   now meeting vic for some late lunch!
 happy,Happy
 always have wanted to go to oz,Always have wanted to go to Oz
 thx,Thx
 cool...,luv
 okay so i`m dedicating my 300th tweet to the fact that i`m going to the apple store because there is a huge crack on the glass screen!,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!
 if only we could ever actually be allowed to stay here and do that,If only we could ever actually be allowed to stay here and do that
 let me know how that turns out!!,Let me know how that turns out!!
 ****,"Seriously,"
" i live for pain, bring it on","I live for pain, bring it on"
" okay, i`m out for a while back later!","okay, i`m out for a while  back later!"
 #powerblog what is this powerblog challenge you keep talking about? i`m a newbie follower,g What is this powerblog challenge you keep talking about?  I`m a newbie followe
 not going to well!,not going to well!
 going to shower because i don`t want to smell at school tomorrow,going to shower because i don`t want to smell at school tomorrow
 hopefully,hopefully
 here are 4 free twitter tools will get you followers http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xpg0/,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/
 amazing,what an amazing day.
 wonderful,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning"
 amazing,were amazing tonight..
" i waited, listening to wind blowing through the tumbleweed? are none of you old enough to know what to do when someone says 'crackerack'?","I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?"
 him shirt at dinner? do you need to ask?? does it actually have ville on it?,HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?
 happy b-day!,Happy b-day!
 happy,HAPPY
 glad,glad
 thanks,Thanks
 twittering after 2 days!,twittering after 2 days!
 depressed,depressed
" painful tum, threw up, still feel sick.",sick.
 is getting the hang of twitter.,Is getting the hang of Twitter.
 miss,miss
" bathing with two little angels, keyla and janice.","bathing with two little angels, Keyla and Janice."
 hahahha lol true that! i always remember my bd but i can never remember what date or even day it is,HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is
it`s gorgeous out!,.it`s gorgeous out!
 im not bannished...,Im not bannished.
 tonight in party,tonight in party w/ my girls (minus vita)
 simple my a#@,Simple my a#@
" the pics i just uploaded are the baby pics of my cats. missy is now an adult and a pretty little kitty, but batty is in kitten heaven now","The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
 amazing,amazing
 glad,glad
 missed them,I have missed them
" _live that`s what i want. more the better. bound to be a few bad eggs though, but they will soon learn.","_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn."
 hell yeah kellynn got a twitter. finally.,Hell yeah Kellynn got a Twitter. Finally.
 cannot wait,Cannot wait
 ,
 it looks like the office tv does get mlb network... and it looks like mlbn will not be televising the det/bal game today #wieters,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters
 exhausting!,exhausting!
 hurts ohh im sad it very hurts,im sad it very hurts
 feelin the love,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love"
 not sure it didn`t say it was 2 big. i jst saw the pics of u on ur last bday. you looked so pretty!! i miss you!!,Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!
 amazin,it was amazin
 there!,There!
 there!,That sucks!
 oh nice,oh nice going!
 celebrate,partying
 i agree with you!,i agree with you!
perfect match for my mood lol,perfect ma
 aww thanks!,thanks!
 i saw amazing heeels. but they were too big,I saw amazing heeels. But they were too big
 damnit all. that sucks.,Damnit all. That sucks.
 my boss. she`s moving to nyc,my boss. She`s moving to NYC
 this is sooo crazy,this is sooo crazy
 i think i need some new friends,I think i need some new friends
 looking forward to your gig in ireland!!! see ya there!,Looking forward to your gig in Ireland!!!  See ya there!
" is hungry, twitter. i want food. </3","is hungry, twitter.  i want food."
" yea, i should know.. but tell me everything! ps: send me direct messages telling.. haha","yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   ha"
 i love,love
 no fun this weekend.,No fun
 u really don`t think so? maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for
 comes home in two days,comes home in two days
 cant wait to see my boy tomorrow,Cant wait
 wish,wish
" yeah real hard, but i know you`ll get by with it... smile","yeah real hard, but I know you`ll get by with it... smile"
 happy mother`s day!,Happy
 i make that same face when i get home and your mom is watching soaps.,I make that same face when I get home and your mom is watching soaps.
 i have to go to work now.,I have to go to work now.
" and to you too, how are you today?","And to you too, how are you today?"
 thanks for the warm welcome!,Thanks
 19 days and counting,19 days and counting
" my sunburn is peeling,","My sunburn is peeling,"
 perky purple nail polish isn`t as perky when its chipped,perky purple nail polish isn`t as perky when its chipped
" http://twitpic.com/4sx96 - before they put a camera in the smokers pit. i can no longer vandalize that door, without being caught.","http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught."
sorry,.sorry
 dying,dying
 qood morninq,qood morninq
 writing my english original writing storyyyyy. and listening to `a little respect` by erasure aaaaaah.,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.
 stupid job,stupid job
 the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form
 the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww,"she is popular,"
 dosen`t want to go to work tomorrow,Dosen`t Want To
 was hoping to go to red lobster this weekend,was hoping to go to Red Lobster this weekend
 lucky,lucky
 hope,I sure do hope
 congrats!,Congrats!
 come and save me from my packing please?!,come and save me from my packing please?!
 thanks!,thanks!
 don`t entertain him,s I just don`t entertain him :/
 kill me,kill me
 goodmorning,Goodmorning
 happy,"I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too"
 im so excited,excited
 dead,then you cry ...
 discovered and are sharing on g reader with me and didn`t even know it. sigh.... i`m such a g reader newb.,Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.
" if u do, please pray 4 me. lord knows i need it.","If u do, please pray 4 me.  Lord knows I need it."
 aaaaaw i want to live in the usa,aaaaaw i want to live in the USA
 morning tweeple,Morning tweeple
" that makes my day so much better, it`s been a rough one. did i mention i love the new photo!","That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!"
 dammit,dammit
 lol. just don`t ever forget me,lol.
 ethan couldn`t be there,Me at Forever 21  Ethan couldn`t be there
 beautiful,Wow what a beautiful pictur
" just about to go home. i`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!","just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!"
 but you always have lee. let`s go to paris,but you always have lee. Let`s go to Paris
 nice evening!,a nice
 fun,having lots of fun
 lovely day for it,Lovely day for it
" you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",i like
 good,im a good daughter
 that`s not cool,That`s NOT cool
 helps.,alwas helps.
" lacking,","lacking,"
 cool,cool
 good morning!!!,Good
 i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.
 stung by a bug for the first time his little finger is slightly swollen.,swollen.
 it was hours ago i came in.... and it`s only now i realised when i went to buy something online,it was hours ago i came in.... and it`s only now i realised when i went to buy something online
 hope you have the best day ever,best
" my dad`s not doing so good,","not doing so good,"
 thats another sponsor,thats another sponsor
 congratulations,congratulations
 miss it there.,I miss it there
" woke up,i wanna stay in my bed","Woke Up,I Wanna Stay In My bed"
 this is wack...,wack.
 _marie wish i could make it too!!! i hate my commute sometimes,Wish I could make it too!!! I hate my commute sometimes
 there wasn`t a chance lol,d there wasn`t a chance
 thanks for the support,Thanks for the support
 there`s really no android twitter app of tweetie`s calibre,there`s really no android twitter app of Tweetie`s calibre
" good day driving up mountains, visiting katie, eating chips & fudge and stocking up on lovely smelling soaps",lovely
 nyappy,Nyappy mother`s day to your mom`s.
 yeah.... and im gonna take ur picture off my ipod baby..,yeah.... and im gonna take ur picture off my ipod baby..
 traumatizing,traumatizing
 lol same here....wish there was a way to microsize everything...lol,lol same here....wish there was a way to microsize everything...lol
 fail)',fail)
 about to have dinner and then an evening of playing cards. already packed and ready to head home tomorrow do we have to go home?,About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?
 hurt,im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!
 great night . i`m glad it was successful,i`m glad
" well,","well,"
 nah jkin he`s hot! so... bored now,nah jkin he`s hot! so... bored now
 it`s amazing!,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!
 yes i have read them many times.,yes i have read them many times.
 cuz you play a grown up on twitter?,Cuz you play a grown up on Twitter?
 i am living in ignorance,i am living in ignorance
 nope... it is telling you that you want cameo creams,nope... it is telling you that you want cameo creams
 we quite like worthing its a relaxing place with nice,its a relaxing place
 amazing,it was amazing
 @ barbs trying to figure out y the dsl aint connecting. i need my google. going home to my computer if it don`t start working soon. smh,@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH
" aw, not going to toronto anymore.",not going
 hay wats ur aim? we should chat,hay wats ur AIM? we should chat
 . okay kool... i might be touring all summer long but we can make it happen!,. Okay kool... I might be touring all summer long but we can make it happen!
 in pain.,PAIN.
 yea so wassup,yea so wassup
" there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref atm","there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM"
 yes! join us! all we require is a cupcake donation...,Yes! Join us! All we require is a cupcake donation...
 terrible,terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!
 can`t access your site!,Can`t access your site!
 and the sun is shinning.........at last,Sun is shinning.........at last
 i don`t think i`ve ever been so tierd,I don`t think I`ve ever been so tierd in my life.U
 what are u going to do today my girl?,What are u going to do today my girl?
 bad,bad hair day
 mozart`s requiem!,mozart`s requiem!
 it`s not here.,huh?
 nice beta for easports still no news on the online for madden,nice beta for easports still no news on the online for madden
 thats pretty bad quality and probably the worst,bad
 i missed,missed
 unfortunately,Unfortunately
 it was sooooo much fun,fun
 good.,Just got back from working out. I`m feeling pretty good.
 great,"So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!"
 saw no answer back.,no answer back.
 catching up on 2 weeks of lost and grey`s!! house is quiet again.,Catching up on 2 weeks of LOST and Grey`s!!    House is quiet again.
 sick,I`m kinda o sick n tired
 boo...,boo.
 hey phillll! wazzuppppp?!,hey Phillll! Wazzuppppp?!
 missed,missed out
great..,.great.
 yeaaaah!,"finally gone to the beach, yeaaaah!"
" ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours","ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours"
 michelle is a hot mama with chichis grande,michelle is a hot mama with chichis grande
 you do rock that much,you do rock that much
 ugh! these ****,ugh! These **** tonsils.
 please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that miley took,Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took
 lost,lost
 that isn`t going so well.,though that isn`t going so well.
 good,good
 i agree. everybody would`ve been excited and then it goes... ohhhh nooooo..... ms screws up again..,I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..
 edge left me off the contributors list in this month`s issue. x ffs. <- werd,Edge left me off the contributors list in this month`s issue.
" ooo growl and yummy time coming soon for you too huh oh yeah, i have been hunting for a combo tshirt, think i can find one? no","ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO"
 problem...again,im back to this z-index problem...again
 so bored,so bored at work...
 hi to one kiwi artist from another kiwi artist,Hi to one kiwi artist from another kiwi artis
 oooo ok why havent you accepted my friends request,oooo ok   why  havent you accepted my friends reque
 not available,Not available in my area
 its friday! only 5 more hours until i`m free!.....until tomorrow. oh well,Its Friday! Only 5 more hours until I`m free!.....until tomorrow.  oh well
 meeting just in time that iï¿½m trying to win something prize`s friday!,meeting just in time that iï¿½m trying to win something  prize`s friday!
 cramps,cramps
 thank you,thank you
 my pleasure,My pleasure
 out for supper tonight with kurumi in 10 minutes,out for supper tonight with kurumi in 10 minutes
 happy...,Loved
 hi mariah,hi mariah
 _yours13 i`m not at home with my cats right now!,_Yours13 I`m not at home with my cats right now!
 empty,my inbox is still empty
 nice,nice
 exam 1 today. going to get my license renewed the birthday is getting closer!,Exam 1 today. Going to get my license renewed  The birthday is getting closer!
 great and weather`s been good...,good.
 so not close enough that i could run out and get one,so not close enough that I could run out and get one
 forgot,.no one will help me
 thanks,thanks
" - we`re getting closer rather than further from real lobby dates - chicago, blogher09 - squee!!!","- we`re getting closer rather than further from REAL lobby dates - Chicago, BlogHer09 - squee!!!"
 has lost his vocie and adele is laughing at me lol and still wondering why i`m in college on me week off,Has lost his vocie and Adele is laughing at me LOL and still wondering why I`m in college on me week off
yea!,"Pray for my Uncle,"
" didn`t get bitten by a rabies infested person last night yay for me! gonna scare rachel with quarantine tonight, this shall be fun","! Gonna scare Rachel with Quarantine tonight, this shall be fun"
 watching the simpsons,watching the simpsons
 great,great
" has work very, very soon. way too soon!","Has work very, very soon. Way too soon!"
 phaket. what did anneliese want to do?,phaket.  what did anneliese want to do?
 such a pretty,Such a pretty baby!
 invite them to your house instead,Invite them to your house instead
 i`m a bit ben`s thai-ed out,I`m a bit Ben`s Thai-ed out
 cute..,cute..
 _okeefe yay! you`re on twitter! you`re my secret celeb crush! (too much info??),_OKeefe Yay! You`re on Twitter! You`re my secret celeb crush!  (too much info??)
 wish my phone would ring,WISH
 *points at the gear question i just posted* i cant get the rest of my dreadweave set,*points at the gear question I just posted* I cant get the rest of my Dreadweave set
 hope this helps,. He gives Twitter tips. Hope this helps
 thanks,... LOL Than
 relaxing,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work
 funny!,funny!
" well doesn`t that look fab,","doesn`t that look fab,"
 deadlines!,deadlines!
 irrelevant.,irrelevant.
 good luck!! how exciting,good
 excited,excited
 we won`t be home till like next month,we won`t be home till like next month
" finally a chance to show genuine love, not dependent selfish love, i hope i can do it. my heart goes out to you and i`m sorry 4 ur pain.","love,"
 too bad,bad
 lots of people becoming unemployed,just got laid off. Lots of people becoming unemployed
 easties you can go there anytime,easties you can go there anytime
 like labels,like
 hard,i never knew a dentention was so hard
 fun,fun
 my nail broke,my nail broke  I haaaaaaaaate
 disappointing,IS disappointing
 yep,yep
 love it!,Love
" it`s a beautiful day outside today, shame i`m stuck in the office with the blinds shut to stop glare.","It`s a beautiful day outside today, shame I`m stuck in the office with the blinds shut to stop glare."
 woke up and there was sun! and then it started to rain,Woke up and there was sun! And then it started to rain
 yippee,celebrate
 havin a much better day today!!,better
 wow-you ride hard!,wow-you ride HARD!
 check out the flyer i designed for the notary and retrograde: http://rachellovespeace.blogspot.com let me know what you think,check out the flyer i designed for the notary and retrograde: http://rachellovespeace.blogspot.com let me know what you think
 thanks!,Thanks! Welcome back!
 sucks,t sucks
 awwww..i love him! his car was soooo cute tonight!! i love me some carl..my 10yr old is sad now..lol..,awwww..I love him! His car was soooo CUTE tonight!! I love me some Carl..My 10yr old is sad now..LOL..
 watching southpark for another 20 minutes,Watching southpark for another 20 minutes
 tried on all the shoes in new look,Tried on all the shoes in new look
 oh wow...hope he`s ok u take him 2 the vet?,oh wow...hope he`s ok  u take him 2 the vet?
 greatest,one of the greatest dinners ever:
 great pics!,great
 the world is just amazing!,The World is just amazing!
 @ gadgetopia need to dm you but you`re not following me. will send email.,@ gadgetopia need to DM you but you`re not following me.   Will send email.
 awww hes too cute!!,cute!
 got my cable set up! win! got my lock put on my door! win! feeling a tad neglected... fail.,got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.
 i think that may look a little silly -.- also my camera is broken,silly
 great talk with grace about how awesome,just had a great talk with grace about how awesome God is and how he works...that somehow started with how remote controls work
 beasted,beasted
 sitting at home doing nothing. gonna be like this all weekend,sitting at home doing nothing. gonna be like this all weekend
 flew brisbane - lax today. great flight. love the lights. shame about one drink limit though!,flew Brisbane - Lax today.  Great flight.  Love the lights.  Shame about one drink limit thoug
 happy,"HAPPY MOTHER`S DAY to my Mom, and every Mom everywhere.  Off for a stroll at the Beaches later--hopefully..."
 best,best
 i can`t sleep!,aww
 nothing fair,nothing fair
 i am going to see how long i can do this for.,I am going to see how long I can do this for.
 bam!!!!!,"You better come here by the time I count to 10 or else. 1, 2, 3,  BAM!!!!!"
 prd take a long time to review!,PRD take a long time to review!
 fail,i`m going to fail this final.
 thx,", Thx"
 how sad!,how sad! are you saying that I`m fat?  *tears*
 why thank you. i might just take you up on your offer,why thank you. I might just take you up on your offer
 can`t find it anywhere!,can`t find it anywhere!
 mitchel you have no idea how much i want to call you!! but it costs loads to call from england!!!,Mitchel you have no idea how much I want to call you!! but it costs loads to call from england!!!
 relaxing,very relaxing
 yessir that is 100% right,yessir that is 100% right
 great time,GREAT
 sad.,sad.
 ada acara menarik lain: keys to the vip di channel v. ttg straight yg dikasih tasks to approach strangers in the crowd.. hmm,Ada acara menarik lain: Keys to the VIP di channel V. Ttg straight yg dikasih tasks to approach strangers in the crowd.. Hmm
 well hit me and we can see...it depends then,well hit me and we can see...it depends then
 cute,very cute
 looks good too,good
 shower time!!!!!,shower time!!!!!
this is gonna be expensive.,expensive.
 so tired,So tired &
 i am on here..finally. and yay. seriously. that made my day oh fellow hell ruler,am on here..finally. AND YAY. seriously. that made my day oh fellow hell ruler
 doesnt have a hangover and is getting ready for a good ol` english fry up,doesnt have a hangover  and is getting ready for a good ol` english fry up
 working now,Working now
 just at starbucks with farrah!,Just at Starbucks with Farrah!
 @ ginniejean there`s a lot of mojo all over the place... yes.,@ ginniejean there`s a lot of mojo all over the place...  yes.
 mad tired.,Mad tired. But it`s the hols! I miss chomp chomp terribly!
 good,Good
 good,good
 missing,Missing
" okay, make sure he`s alright kk? cuidalo. let him know he`s a got friend in us aha..","Okay, make sure he`s alright kk? Cuidalo. Let him know he`s a got friend in us aha.."
 it will if i do it in a round about way. i ahve to copy the public contacts into my personal contacts first. no big deal,It will if I do it in a round about way. I ahve to copy the public contacts into my personal contacts first.  no big deal
 trying to figure it out,trying to figure it out
 went to see hannah montana movie on saturday loved it .... still cant work twitter out though,Went to see hannah montana movie on saturday  loved it .... still cant work twitter out though
 victim,i`m a victim
 ugggh,a stop
 can`t wait,can`t wait to november for Jobros concert !
 sorry,but I feel sorry for Marcus though.
 fire and urban at rock challenge,http://twitpic.com/4jken - fire and urban at rock challenge
 i can`t believe,can`t believe
 sorry,sorry ba
 well now i do,well now i do
" morning tweeple,way to early again","Morning tweeple,way to early again"
 loves,Loves the fact
 i hope,s not bad
 awesome..,awesome.
 rough,rough
 congrats,"Aww, congrats to the family."
 i can`t.,i can`t.
 goodnight!,Goodnight!
" omg, my mom just called... im too late... hes gone",Im too late... Hes gone
 lost,lost my internet signal
 sorry,sorry
 i just bit my tongue. blood everywhere!!!,blood everywhere!!!
 pulled up @ walmart aunt got out went in i fell asleep 2 hours later.... were r you?! lol,pulled up @ walmart aunt got out went in I fell asleep 2 hours later.... were r you?!  lol
 hurt,hurt my arm.
 ****,****
 tiiiiiiired!,tiiiiiiired! Going to bed!
" just been in that kind of mood, not reason at all. lol, but i`ll try not to be too mushy around you! i can behave!","Just been in that kind of mood, not reason at all. Lol, but I`ll try not to be too mushy around you!  I can behave!"
 messed up?!,keeps getting such delayed responses. why is my internet so messed up?!
 and dont tell burnsy - but no comparison between the rocky mountains and mountains in enlgland,and dont tell burnsy - but no comparison between the rocky mountains and mountains in enlgland
 sad.,sad.
 i could get away with it. dare me? i`ll go buy it tomorrow,I could get away with it. dare me? I`ll go buy it tomorrow
" sadly,","Sadly, that`s not too often"
 good times.,good times.
 mistakes,...  that was meeeaaannn.
 pretty.,pretty.
 love that!,d really love that!
